temperature,x,y,z
-10944.5605,25.2785,10.672833333333333,7.330666666666667
-10928.417,25.225833333333334,10.709666666666667,7.333833333333334
-10909.372333333333,25.1835,10.711666666666666,7.3213333333333335
-10901.021833333334,25.233833333333333,10.686333333333334,7.349333333333333
-10890.446666666667,25.124666666666666,10.717166666666667,7.353
-10888.017,25.21066666666667,10.703166666666666,7.367333333333334
-10865.102666666668,25.259833333333333,10.690333333333333,7.352166666666666
-10873.221,25.233833333333333,10.670833333333333,7.362666666666667
-10860.604333333333,25.300333333333334,10.712666666666667,7.347666666666667
-10858.949333333334,25.420166666666667,10.700833333333334,7.3745
-10851.242166666667,25.3465,10.675166666666666,7.339166666666666
-10846.369166666667,25.365833333333335,10.686833333333333,7.346
-10845.740333333333,25.279166666666665,10.692666666666666,7.3355
